22:58:42 0 %, 1 MiB
23:15:03 0 %, 1099 MiB
23:15:09 0 %, 1099 MiB
23:15:14 0 %, 1099 MiB
23:15:20 0 %, 1099 MiB
23:15:25 0 %, 1099 MiB
23:15:31 0 %, 1099 MiB
23:15:37 0 %, 1099 MiB
23:15:42 0 %, 1099 MiB
23:15:47 0 %, 1099 MiB
23:15:53 0 %, 1099 MiB
23:15:58 0 %, 1099 MiB
23:16:04 0 %, 1099 MiB
23:16:09 0 %, 1099 MiB
23:16:15 0 %, 1099 MiB
23:16:20 0 %, 1099 MiB
23:16:26 0 %, 1099 MiB
23:16:31 0 %, 1099 MiB
23:16:37 0 %, 1099 MiB
23:16:42 0 %, 1099 MiB
23:16:48 0 %, 1099 MiB
23:16:53 0 %, 1099 MiB
23:16:59 0 %, 1099 MiB
23:17:04 0 %, 1099 MiB
23:17:10 0 %, 1099 MiB
23:17:15 0 %, 1099 MiB
23:17:21 0 %, 1099 MiB
23:17:26 0 %, 1099 MiB
23:17:31 0 %, 1099 MiB
23:17:37 0 %, 1099 MiB
23:17:42 0 %, 1099 MiB
23:17:48 0 %, 1099 MiB
23:17:54 0 %, 1099 MiB
23:17:59 0 %, 1099 MiB
23:18:05 0 %, 1099 MiB
23:18:10 0 %, 1099 MiB
23:18:15 0 %, 1099 MiB
23:18:21 0 %, 1099 MiB
23:18:26 0 %, 1099 MiB
23:18:32 0 %, 1099 MiB
23:18:37 0 %, 1099 MiB
23:18:43 0 %, 1099 MiB
23:18:48 0 %, 1099 MiB
23:18:53 0 %, 1099 MiB
23:18:59 0 %, 1099 MiB
23:19:04 0 %, 1099 MiB
23:19:10 0 %, 1099 MiB
23:19:15 0 %, 1099 MiB
23:19:21 0 %, 1099 MiB
23:19:26 0 %, 1099 MiB
23:19:32 0 %, 1099 MiB
23:19:37 0 %, 1099 MiB
23:19:43 0 %, 1099 MiB
23:19:48 0 %, 1099 MiB
23:19:54 0 %, 1099 MiB
23:19:59 0 %, 1099 MiB
23:20:04 0 %, 1099 MiB
23:20:10 0 %, 1099 MiB
23:20:15 0 %, 1099 MiB
23:20:21 0 %, 1099 MiB
23:20:26 0 %, 1099 MiB
23:20:31 0 %, 1099 MiB
23:20:37 0 %, 1099 MiB
23:20:42 0 %, 1099 MiB
23:20:48 0 %, 1099 MiB
23:20:53 0 %, 1099 MiB
23:20:59 0 %, 1099 MiB
23:21:04 0 %, 1099 MiB
23:21:10 0 %, 1099 MiB
23:21:15 0 %, 1099 MiB
23:21:21 0 %, 1099 MiB
23:21:26 0 %, 1099 MiB
23:21:31 0 %, 1099 MiB
23:21:37 0 %, 1099 MiB
23:21:42 0 %, 1099 MiB
23:21:48 0 %, 1099 MiB
23:21:53 0 %, 1099 MiB
23:21:59 0 %, 1099 MiB
23:22:04 0 %, 1099 MiB
23:22:10 0 %, 1099 MiB
23:22:15 0 %, 1099 MiB
23:22:21 0 %, 1099 MiB
23:22:26 0 %, 1099 MiB
23:22:31 0 %, 1099 MiB
23:22:37 0 %, 1099 MiB
23:22:42 0 %, 1099 MiB
23:22:48 0 %, 1099 MiB
23:22:53 0 %, 1099 MiB
23:22:59 0 %, 1099 MiB
23:23:04 0 %, 1099 MiB
23:23:10 0 %, 1099 MiB
23:23:15 0 %, 1099 MiB
23:23:20 0 %, 1099 MiB
23:23:26 0 %, 1099 MiB
23:23:31 0 %, 1099 MiB
23:23:37 0 %, 1099 MiB
23:23:42 0 %, 1099 MiB
23:23:48 0 %, 1099 MiB
23:23:53 0 %, 1099 MiB
23:23:59 0 %, 1099 MiB
23:24:04 0 %, 1099 MiB
23:24:10 0 %, 1099 MiB
23:24:15 0 %, 1099 MiB
23:24:20 0 %, 1099 MiB
23:24:26 0 %, 1099 MiB
23:24:32 0 %, 1099 MiB
23:24:37 0 %, 1099 MiB
23:24:42 0 %, 1099 MiB
23:24:48 0 %, 1099 MiB
23:24:53 0 %, 1099 MiB
23:24:59 0 %, 1099 MiB
23:25:04 0 %, 1099 MiB
23:25:10 0 %, 1099 MiB
23:25:15 0 %, 1099 MiB
23:25:21 0 %, 1099 MiB
23:25:27 0 %, 1099 MiB
23:25:32 0 %, 1099 MiB
23:25:37 0 %, 1099 MiB
23:25:43 0 %, 1099 MiB
23:25:49 0 %, 1099 MiB
23:25:54 0 %, 1099 MiB
23:25:59 0 %, 1099 MiB
23:26:05 0 %, 1099 MiB
23:26:10 0 %, 1099 MiB
23:26:16 0 %, 1099 MiB
23:26:21 0 %, 1099 MiB
23:26:26 0 %, 1099 MiB
23:26:32 0 %, 1099 MiB
23:26:37 0 %, 1099 MiB
23:26:43 0 %, 1099 MiB
23:26:48 0 %, 1099 MiB
23:26:54 0 %, 1099 MiB
23:26:59 0 %, 1099 MiB
23:27:05 0 %, 1099 MiB
23:27:10 0 %, 1099 MiB
23:27:16 0 %, 1099 MiB
23:27:21 0 %, 1099 MiB
23:27:26 0 %, 1099 MiB
23:27:32 0 %, 1099 MiB
23:27:37 0 %, 1099 MiB
23:27:43 0 %, 1099 MiB
23:27:48 0 %, 1099 MiB
23:27:54 0 %, 1099 MiB
23:27:59 0 %, 1099 MiB
23:28:05 0 %, 1099 MiB
23:28:11 0 %, 1099 MiB
23:28:16 0 %, 1099 MiB
23:28:21 0 %, 1099 MiB
23:28:27 0 %, 1099 MiB
23:28:33 0 %, 1099 MiB
23:28:38 0 %, 1099 MiB
23:28:43 0 %, 1099 MiB
23:28:49 0 %, 1099 MiB
23:28:54 0 %, 1099 MiB
23:29:00 0 %, 1099 MiB
23:29:05 0 %, 1099 MiB
23:29:11 0 %, 1099 MiB
23:29:16 0 %, 1099 MiB
23:29:22 0 %, 1099 MiB
23:29:27 0 %, 1099 MiB
23:29:33 0 %, 1099 MiB
23:29:38 0 %, 1099 MiB
23:29:44 0 %, 1099 MiB
23:29:49 0 %, 1099 MiB
23:29:55 0 %, 1099 MiB
23:30:00 0 %, 1099 MiB
23:30:05 0 %, 1099 MiB
23:30:11 0 %, 1099 MiB
23:30:17 0 %, 1099 MiB
23:30:22 0 %, 1099 MiB
23:30:28 0 %, 1099 MiB
23:30:33 0 %, 1099 MiB
23:30:38 0 %, 1099 MiB
23:30:44 0 %, 1099 MiB
23:30:49 0 %, 1099 MiB
23:30:55 0 %, 1099 MiB
23:31:00 0 %, 1099 MiB
23:31:06 0 %, 1099 MiB
23:31:11 0 %, 1099 MiB
23:31:17 0 %, 1099 MiB
23:31:22 0 %, 1099 MiB
23:31:28 0 %, 1099 MiB
23:31:33 0 %, 1099 MiB
23:31:38 0 %, 1099 MiB
23:31:44 0 %, 1099 MiB
23:31:49 0 %, 1099 MiB
23:31:55 0 %, 1099 MiB
23:32:00 0 %, 1099 MiB
23:32:06 0 %, 1099 MiB
23:32:12 0 %, 1099 MiB
23:32:17 0 %, 1099 MiB
23:32:23 0 %, 1099 MiB
23:32:28 0 %, 1099 MiB
23:32:34 0 %, 1099 MiB
23:32:39 0 %, 1099 MiB
23:32:45 0 %, 1099 MiB
23:32:50 0 %, 1099 MiB
23:32:56 0 %, 1099 MiB
23:33:01 0 %, 1099 MiB
23:33:07 2 %, 1367 MiB
23:33:12 1 %, 1363 MiB
23:33:17 2 %, 1361 MiB
23:33:23 1 %, 1361 MiB
23:33:28 0 %, 1331 MiB
23:33:33 0 %, 1331 MiB
23:33:39 0 %, 1331 MiB
23:33:44 0 %, 1331 MiB
23:33:50 0 %, 1331 MiB
23:33:56 0 %, 1331 MiB
23:34:01 0 %, 1331 MiB
23:34:07 0 %, 1331 MiB
23:34:13 0 %, 1331 MiB
23:34:19 0 %, 1331 MiB
23:34:24 0 %, 1331 MiB
23:34:29 0 %, 1331 MiB
23:34:35 0 %, 1331 MiB
23:34:41 0 %, 1331 MiB
23:34:46 0 %, 1331 MiB
23:34:52 0 %, 1331 MiB
23:34:57 0 %, 1331 MiB
23:35:03 0 %, 1331 MiB
23:35:08 0 %, 1331 MiB
23:35:13 0 %, 1331 MiB
23:35:19 0 %, 1331 MiB
23:35:25 0 %, 1331 MiB
23:35:30 0 %, 1331 MiB
23:35:36 0 %, 1331 MiB
23:35:41 0 %, 1331 MiB
23:35:47 0 %, 1331 MiB
23:35:52 0 %, 1331 MiB
23:35:58 0 %, 1331 MiB
23:36:04 0 %, 1331 MiB
23:36:10 0 %, 1331 MiB
23:36:15 0 %, 1331 MiB
23:36:21 0 %, 1331 MiB
23:36:26 0 %, 1331 MiB
23:36:32 0 %, 1331 MiB
23:36:37 0 %, 1331 MiB
23:36:42 0 %, 1331 MiB
23:36:48 0 %, 1331 MiB
23:36:53 0 %, 1331 MiB
23:36:59 4 %, 1589 MiB
23:37:04 3 %, 1595 MiB
23:37:10 5 %, 1593 MiB
23:37:15 0 %, 1563 MiB
23:37:20 0 %, 1563 MiB
23:37:26 0 %, 1563 MiB
23:37:31 0 %, 1563 MiB
23:37:37 0 %, 1563 MiB
23:37:42 0 %, 1563 MiB
23:37:47 0 %, 1563 MiB
23:37:53 0 %, 1563 MiB
23:37:58 0 %, 1563 MiB
23:38:04 0 %, 1563 MiB
23:38:09 0 %, 1563 MiB
23:38:15 0 %, 1563 MiB
23:38:20 0 %, 1563 MiB
23:38:26 0 %, 1563 MiB
23:38:32 0 %, 1563 MiB
23:38:37 0 %, 1563 MiB
23:38:42 0 %, 1563 MiB
23:38:48 0 %, 1563 MiB
23:38:53 0 %, 1563 MiB
23:38:59 0 %, 1563 MiB
23:39:04 0 %, 1563 MiB
23:39:10 0 %, 1563 MiB
23:39:15 0 %, 1565 MiB
23:39:20 2 %, 1827 MiB
23:39:26 1 %, 1823 MiB
23:39:31 2 %, 1829 MiB
23:39:36 1 %, 1823 MiB
23:39:42 1 %, 1823 MiB
23:39:47 0 %, 1791 MiB
23:39:53 0 %, 1791 MiB
23:39:58 0 %, 1791 MiB
23:40:03 0 %, 1791 MiB
23:40:08 0 %, 1791 MiB
23:40:14 0 %, 1791 MiB
23:40:19 0 %, 1791 MiB
23:40:25 0 %, 1791 MiB
23:40:30 0 %, 1791 MiB
23:40:36 0 %, 1791 MiB
23:40:42 0 %, 1791 MiB
23:40:47 0 %, 1791 MiB
23:40:53 0 %, 1791 MiB
23:40:58 0 %, 1791 MiB
23:41:04 0 %, 1791 MiB
23:41:09 0 %, 1791 MiB
23:41:15 0 %, 1791 MiB
23:41:20 0 %, 1791 MiB
23:41:26 0 %, 1791 MiB
23:41:31 0 %, 1791 MiB
23:41:36 0 %, 1791 MiB
23:41:42 0 %, 1791 MiB
23:41:47 0 %, 1791 MiB
23:41:53 0 %, 1791 MiB
23:41:59 0 %, 1791 MiB
23:42:04 0 %, 1791 MiB
23:42:10 0 %, 1791 MiB
23:42:15 0 %, 1791 MiB
23:42:21 0 %, 1791 MiB
23:42:27 0 %, 1791 MiB
23:42:32 0 %, 1791 MiB
23:42:38 0 %, 1791 MiB
23:42:43 0 %, 1791 MiB
23:42:49 0 %, 1791 MiB
23:42:54 0 %, 1791 MiB
23:43:00 0 %, 1791 MiB
23:43:05 0 %, 1791 MiB
23:43:11 0 %, 1791 MiB
23:43:16 0 %, 1791 MiB
23:43:22 0 %, 1791 MiB
23:43:27 0 %, 1791 MiB
23:43:33 0 %, 1791 MiB
23:43:39 0 %, 1791 MiB
23:43:44 0 %, 1791 MiB
23:43:50 0 %, 1791 MiB
23:43:55 0 %, 1791 MiB
23:44:01 0 %, 1791 MiB
23:44:06 0 %, 1791 MiB
23:44:12 0 %, 1791 MiB
23:44:17 0 %, 1791 MiB
23:44:23 0 %, 1791 MiB
23:44:29 0 %, 1791 MiB
23:44:34 0 %, 1791 MiB
23:44:40 0 %, 1791 MiB
23:44:46 0 %, 1791 MiB
23:44:51 0 %, 1791 MiB
23:44:57 0 %, 1791 MiB
23:45:02 0 %, 1791 MiB
23:45:08 0 %, 1791 MiB
23:45:13 0 %, 1791 MiB
23:45:19 0 %, 1791 MiB
23:45:25 0 %, 1791 MiB
23:45:30 0 %, 1791 MiB
23:45:36 0 %, 1791 MiB
23:45:41 0 %, 1791 MiB
23:45:47 0 %, 1791 MiB
23:45:53 0 %, 1791 MiB
23:45:58 0 %, 1791 MiB
23:46:04 0 %, 1791 MiB
23:46:09 0 %, 1791 MiB
23:46:15 0 %, 1791 MiB
23:46:20 0 %, 1791 MiB
23:46:26 0 %, 1791 MiB
23:46:32 0 %, 1791 MiB
23:46:37 0 %, 1791 MiB
23:46:43 0 %, 1791 MiB
23:46:48 0 %, 1791 MiB
23:46:54 0 %, 1791 MiB
23:46:59 0 %, 1791 MiB
23:47:05 0 %, 1791 MiB
23:47:10 0 %, 1791 MiB
23:47:15 0 %, 1791 MiB
23:47:21 0 %, 1791 MiB
23:47:27 0 %, 1791 MiB
23:47:32 0 %, 1791 MiB
23:47:38 0 %, 1791 MiB
23:47:43 0 %, 1791 MiB
23:47:49 0 %, 1791 MiB
23:47:55 0 %, 1791 MiB
23:48:00 0 %, 1791 MiB
23:48:06 0 %, 1791 MiB
23:48:11 0 %, 1791 MiB
23:48:17 0 %, 1791 MiB
23:48:23 0 %, 1791 MiB
23:48:28 0 %, 1791 MiB
23:48:34 0 %, 1791 MiB
23:48:39 0 %, 1791 MiB
23:48:45 0 %, 1791 MiB
23:48:50 0 %, 1791 MiB
23:48:56 0 %, 1791 MiB
23:49:01 0 %, 1791 MiB
23:49:07 0 %, 1791 MiB
23:49:13 0 %, 1791 MiB
23:49:18 0 %, 1791 MiB
23:49:24 0 %, 1791 MiB
23:49:29 0 %, 1791 MiB
23:49:35 0 %, 1791 MiB
23:49:40 0 %, 1791 MiB
23:49:46 0 %, 1791 MiB
23:49:51 0 %, 1791 MiB
23:49:57 0 %, 1791 MiB
23:50:02 0 %, 1791 MiB
23:50:08 0 %, 1791 MiB
23:50:13 0 %, 1791 MiB
23:50:19 0 %, 1791 MiB
23:50:24 0 %, 1791 MiB
23:50:30 0 %, 1791 MiB
23:50:35 0 %, 1791 MiB
23:50:41 0 %, 1791 MiB
23:50:46 0 %, 1791 MiB
23:50:52 0 %, 1791 MiB
23:50:57 0 %, 1791 MiB
23:51:03 0 %, 1791 MiB
23:51:08 0 %, 1791 MiB
23:51:14 0 %, 1791 MiB
23:51:20 0 %, 1791 MiB
23:51:25 0 %, 1791 MiB
23:51:31 0 %, 1791 MiB
23:51:36 0 %, 1791 MiB
23:51:42 0 %, 1791 MiB
23:51:48 0 %, 1791 MiB
23:51:53 0 %, 1791 MiB
23:51:59 0 %, 1791 MiB
23:52:04 0 %, 1791 MiB
23:52:10 0 %, 1791 MiB
23:52:15 0 %, 1791 MiB
23:52:21 0 %, 1791 MiB
23:52:26 0 %, 1791 MiB
23:52:31 0 %, 1791 MiB
23:52:37 0 %, 1791 MiB
23:52:42 0 %, 1791 MiB
23:52:48 0 %, 1791 MiB
23:52:53 0 %, 1791 MiB
23:52:59 0 %, 1791 MiB
23:53:04 0 %, 1791 MiB
23:53:10 0 %, 1791 MiB
23:53:15 0 %, 1791 MiB
23:53:21 0 %, 1791 MiB
23:53:26 0 %, 1791 MiB
23:53:32 0 %, 1791 MiB
23:53:38 0 %, 1791 MiB
23:53:43 0 %, 1791 MiB
23:53:48 0 %, 1791 MiB
23:53:54 0 %, 1791 MiB
23:54:00 0 %, 1791 MiB
23:54:05 0 %, 1791 MiB
23:54:11 0 %, 1791 MiB
23:54:16 0 %, 1791 MiB
23:54:22 0 %, 1791 MiB
23:54:27 0 %, 1791 MiB
23:54:32 0 %, 1791 MiB
23:54:38 0 %, 1791 MiB
23:54:43 0 %, 1791 MiB
23:54:49 0 %, 1791 MiB
23:54:54 0 %, 1791 MiB
23:55:00 0 %, 1791 MiB
23:55:05 0 %, 1791 MiB
23:55:11 0 %, 1791 MiB
23:55:17 0 %, 1791 MiB
23:55:22 0 %, 1791 MiB
23:55:28 0 %, 1791 MiB
23:55:33 0 %, 1791 MiB
23:55:39 0 %, 1791 MiB
23:55:44 0 %, 1791 MiB
23:55:50 0 %, 1791 MiB
23:55:55 0 %, 1791 MiB
23:56:00 0 %, 1791 MiB
23:56:06 0 %, 1791 MiB
23:56:11 0 %, 1791 MiB
23:56:17 0 %, 1791 MiB
23:56:22 0 %, 1791 MiB
23:56:28 0 %, 1791 MiB
23:56:33 0 %, 1791 MiB
23:56:39 0 %, 1791 MiB
23:56:45 0 %, 1791 MiB
23:56:50 0 %, 1791 MiB
23:56:56 0 %, 1791 MiB
23:57:01 0 %, 1791 MiB
23:57:07 0 %, 1791 MiB
23:57:12 0 %, 1791 MiB
23:57:18 0 %, 1791 MiB
23:57:23 0 %, 1791 MiB
23:57:29 0 %, 1791 MiB
23:57:34 0 %, 1791 MiB
23:57:40 0 %, 1791 MiB
23:57:45 0 %, 1791 MiB
23:57:51 0 %, 1791 MiB
23:57:56 0 %, 1791 MiB
23:58:02 0 %, 1791 MiB
23:58:07 0 %, 1791 MiB
23:58:13 0 %, 1791 MiB
23:58:18 0 %, 1791 MiB
23:58:24 0 %, 1791 MiB
23:58:29 0 %, 1791 MiB
23:58:35 0 %, 1791 MiB
23:58:40 0 %, 1791 MiB
23:58:46 0 %, 1791 MiB
23:58:51 0 %, 1791 MiB
23:58:57 0 %, 1791 MiB
23:59:02 0 %, 1791 MiB
23:59:08 0 %, 1791 MiB
23:59:13 0 %, 1791 MiB
23:59:18 0 %, 1791 MiB
23:59:24 0 %, 1791 MiB
23:59:29 0 %, 1791 MiB
23:59:35 0 %, 1791 MiB
23:59:41 0 %, 1791 MiB
23:59:46 0 %, 1791 MiB
23:59:52 0 %, 1791 MiB
23:59:57 0 %, 1791 MiB
00:00:03 0 %, 1791 MiB
00:00:08 0 %, 1791 MiB
00:00:14 0 %, 1791 MiB
00:00:19 0 %, 1791 MiB
00:00:25 0 %, 1791 MiB
00:00:31 0 %, 1791 MiB
00:00:36 0 %, 1791 MiB
00:00:42 0 %, 1791 MiB
00:00:47 0 %, 1791 MiB
00:00:53 0 %, 1791 MiB
00:00:58 0 %, 1791 MiB
00:01:04 0 %, 1791 MiB
00:01:09 0 %, 1791 MiB
00:01:15 0 %, 1791 MiB
00:01:20 0 %, 1791 MiB
00:01:26 0 %, 1791 MiB
00:01:31 0 %, 1791 MiB
00:01:37 0 %, 1791 MiB
00:01:42 0 %, 1791 MiB
00:01:48 0 %, 1791 MiB
00:01:53 0 %, 1791 MiB
00:01:59 0 %, 1791 MiB
00:02:05 0 %, 1791 MiB
00:02:10 0 %, 1791 MiB
00:02:15 0 %, 1791 MiB
00:02:21 0 %, 1791 MiB
00:02:26 0 %, 1791 MiB
00:02:32 0 %, 1791 MiB
00:02:37 0 %, 1791 MiB
00:02:43 0 %, 1791 MiB
00:02:48 0 %, 1791 MiB
00:02:53 0 %, 1791 MiB
00:02:59 0 %, 1791 MiB
00:03:04 0 %, 1791 MiB
00:03:10 0 %, 1791 MiB
00:03:15 0 %, 1791 MiB
00:03:21 0 %, 1791 MiB
00:03:26 0 %, 1791 MiB
00:03:32 0 %, 1791 MiB
00:03:38 0 %, 1791 MiB
00:03:43 0 %, 1791 MiB
00:03:49 0 %, 1791 MiB
00:03:54 0 %, 1791 MiB
00:04:00 0 %, 1791 MiB
00:04:05 0 %, 1791 MiB
00:04:10 0 %, 1791 MiB
00:04:16 0 %, 1791 MiB
00:04:21 0 %, 1791 MiB
00:04:27 0 %, 1791 MiB
00:04:32 0 %, 1791 MiB
00:04:38 0 %, 1791 MiB
00:04:43 0 %, 1791 MiB
00:04:49 0 %, 1791 MiB
00:04:54 0 %, 1791 MiB
00:04:59 0 %, 1791 MiB
00:05:05 0 %, 1791 MiB
00:05:10 0 %, 1791 MiB
00:05:16 0 %, 1791 MiB
00:05:22 0 %, 1791 MiB
00:05:27 0 %, 1791 MiB
00:05:32 0 %, 1791 MiB
00:05:38 0 %, 1791 MiB
00:05:43 0 %, 1791 MiB
00:05:49 0 %, 1791 MiB
00:05:54 0 %, 1791 MiB
00:06:00 0 %, 1791 MiB
00:06:05 0 %, 1791 MiB
00:06:11 0 %, 1791 MiB
00:06:16 0 %, 1791 MiB
00:06:22 0 %, 1791 MiB
00:06:27 0 %, 1791 MiB
00:06:33 0 %, 1791 MiB
00:06:38 0 %, 1791 MiB
00:06:44 0 %, 1791 MiB
00:06:50 0 %, 1791 MiB
00:06:55 0 %, 1791 MiB
00:07:01 0 %, 1791 MiB
00:07:06 0 %, 1791 MiB
00:07:12 0 %, 1791 MiB
00:07:17 0 %, 1791 MiB
00:07:23 0 %, 1791 MiB
00:07:29 0 %, 1791 MiB
00:07:34 0 %, 1791 MiB
00:07:40 0 %, 1791 MiB
00:07:45 0 %, 1791 MiB
00:07:51 0 %, 1791 MiB
00:07:56 0 %, 1791 MiB
00:08:02 0 %, 1791 MiB
00:08:07 0 %, 1791 MiB
00:08:13 0 %, 1791 MiB
00:08:19 0 %, 1791 MiB
00:08:24 0 %, 1791 MiB
00:08:29 0 %, 1791 MiB
00:08:35 0 %, 1791 MiB
00:08:40 0 %, 1791 MiB
00:08:46 0 %, 1791 MiB
00:08:51 0 %, 1791 MiB
00:08:57 0 %, 1791 MiB
00:09:02 0 %, 1791 MiB
00:09:08 0 %, 1791 MiB
00:09:13 0 %, 1791 MiB
00:09:18 0 %, 1791 MiB
00:09:24 0 %, 1791 MiB
00:09:29 0 %, 1791 MiB
00:09:35 0 %, 1791 MiB
00:09:41 0 %, 1791 MiB
